Reference,Content,Reaction,Comment,Share
100011,"Am I the only one who feels this way since starting university?In the past year, I constantly feel anxious. Especially in new environment. On my first day of physical lessons, I found myself unable to sleep the night before. Then when I reached campus and could not find my class, I was in cold sweat and found myself breathless from panicking.I cannot seem to focus. I constantly study one module with my head thinking about another module that has an upcoming exam too. I end up toggling between subjects and lose my focus easily.I also find myself very demotivated and sluggish. Despite putting in more effort this semester, I feel like I am everywhere. A lot of things that used to bring joy to me no longer does. I no longer enjoy playing my mobile games. I no longer enjoy netflix/YouTube. I no longer enjoy sports. Because it feels like I don't have the time.Then there's this constant fear of disappointing others. When I don't do well, my first concern is disappointing my professors, my parents or others who have put effort in me. I don't want them to feel sad because I didn't do well. I hope second half of sem 1 will be better. Hang in there everyone!-#100011: https://www.nuswhispers.com/confession/100011","['Like: 25 people', 'Care: 11 people']",11 comments,3 shares
100581,"Is it normal to have a deep dislike for your husband? My husband often disses me, ignores me when I'm feeling upset, or speaks to me in a very rude manner. He enjoys putting me down and even outright ignoring me when I voice out my concerns with his behavior. Initially, I was okay tolerating it as we are still pretty happy around each other. However, the way he treats me has started to take a toll on me as he does it on a daily basis. I've felt so unhappy for a long time and it has gotten worse over time.I want to leave him but our entire lives will be affected. I'm not sure how to talk to him because he quite child-like and is not capable of an adult conversation about his behavior. All these weren't the case before we got married, but over time, he started to display his ""true colors"". I still love him. What should I do?-#100581: https://www.nuswhispers.com/confession/100581","['Like: 28 people', 'Sad: 23 people', 'Care: 11 people']",52 comments,5 shares
100580,"#100565 reminds me of my ex, who was very bad-tempered and physical with me. The twist - which I never told her, because she was the vanilla type of girl - is that I am a total femdom submissive. So she never knew that her every pinching of my skin gave me a full-blown e***tion, every ear-twisting a shuddering o***sm. We only had one Valentine's Day together before breaking up due to her emigration, but I remember it well. I had purposely forgotten about the special day, and pretended to be oblivious to all her hints throughout the day until at night when she finally exploded, caning me like a little boy for a good hour. It was the best day of my life.So to the OP of #100565, bottom line is you are just with a wrong guy who doesn't appreciate the unique kind of love you can bestow. On the other hand, I am single, available, and ready to be your Anastasia Steele. HMU in the comments!-#100580: https://www.nuswhispers.com/confession/100580","['Haha: 66 people', 'Like: 25 people']",18 comments,13 shares
100577,"Dear Prof Ben,I'm seeking some career advice. I am a 26 year old male, graduated from a top 10 CS program in the US but returned to Singapore to serve my 6 year scholarship bond in a non-tech stat board. I'm now in my 2nd year of service.I wouldn't exactly say I hate my job. My colleagues are helpful, the WLB is good, and my work serves the public. However, my work experience so far isn't exactly marketable: vendor management, IT compliance, maintaining legacy IT systems, IT asset management, robotic process automation, microsoft sharepoint config, and lots of staff work (writing minutes etc.). Basically, your typical gov IT analyst role.I'll be 30+ when I finish my bond. My worry is that I'll have to start my real SWE career from scratch (effectively wasting six year of my life), or even worse, be unhirable for entry-level SWE role due to my age and lack of real experience.I'll just say that I cannot afford to break my bond (mid six figures), so that is not an option. My senior management isn't willing to transfer me to a tech-focused agency as well (I've requested before). What would be your advice for someone in my situation? I really don't want to let a mistake made in my youth (taking up a bonded scholarship) ruin my entire career.-#100577: https://www.nuswhispers.com/confession/100577","['Like: 25 people', 'Haha: 4 people', 'Care: 4 people']",21 comments,4 shares
100578,Its obvious how broken hiring process for a tech job is.U can know 0 things about cs  and have a 0.01 CAP but as long as u grind leetcode (knowing just the basics of a single programming language) u can get a job.-#100578: https://www.nuswhispers.com/confession/100578,"['Like: 12 people', 'Haha: 7 people']",0 Comments,9 comments
100571,"I wish to rant. Are all guys so shallow and only like girls for their good body figure. I know nice butt and big boobs are an attraction to guys but we are way more than that. I am a plain Jane and average looking, but I blessed with good gene from my mum. I am 1.74m, tall for a girl and I am a 35D and I am not fat. I am very body conscious and shy about my figure because it draw way too many unwanted attention. When I was in secondary schools and JC, I know guys will talk about me since it is very obvious as we wear uniform. I don’t like it. I thought things will be better when I am in uni. I met this guy and we are taking many mod together. We are just friend and going out in groups, but we both feels a thing about each other; just that nothing was said. Recently, we start seeing each other alone. Last week, while we are out shopping, he suddenly hold my hand, I didn’t resist. I was escalated. At night while we are chatting he finally said he likes me. I ask him what he sees in me. He says I am cute and have a nice body. I was like WTF and I can literally hear my heart shattered. There is nothing better that he sees in me? I do like him a lot, but honestly I was a little hurt. Had hope that he likes more of the inner me. Should I enter this relationship?-#100571: https://www.nuswhispers.com/confession/100571","['Like: 83 people', 'Haha: 61 people', 'Care: 15 people']",140 comments,24 shares
100572,"I am not sure where to start. Would like to get this story off my chest and let’s see what people here has to say. It has been around 4 years since graduation. I used to have friends whom we hang out together almost every day after school, mugging in the libraries, going for CCAs together, we joke around a lot. They were friends I cherish a lot. After graduation, we went out once or twice to hang out. Thereafter, I tried to ask them out again, or even just asking getting an update about their life over whatsapp. And I start getting no response from them. As if they are actually not keen to meet up/hang out. Or…are they just really busy with life? I really question, what actually went on? Or, were we never really true friends to begin with? I have been thinking whether to raise the questions again. But, it has been so long since we last spoke… it just feels abit awkward and even if we meet, it wouldn’t feel the same as before anymore.-#100572: https://www.nuswhispers.com/confession/100572","['Like: 29 people', 'Sad: 10 people', 'Care: 5 people']",45 comments,11 shares
100574,hi prof benthere have been a few confessions on whispers that CAP is not very important for getting into FAANG and that leetcode ability is a lot more important.what are your views?-#100574: https://www.nuswhispers.com/confession/100574,"['Like: 1 person', 'Haha: 1 person']",0 Comments,2 comments
100570,"Hi all, would like to seek some advice:A month ago I accompanied a family member (age 59) for a routine medical check and was told that his cholesterol level was high (4.3mmol/l). At that point, the Dr had recommended exercise and a healthy diet to manage the cholesterol level.3 days ago, we went for another check-up (skin allergy) at the same gov healthcare facility, and another Dr, based on the previous reading of 4.3mmol/l,  immediately prescribed statins. We are hesitant as to whether to start on statins because:-not sure if really necessary at this point, considering what the previous Dr said about exercise and diet-fearful of the well-known side effects -worried about having to be on statins for life since it cannot be stopped once started Are there any natural remedies to lower the cholesterol level?Any advice will be much appreciated. Thank you-#100570: https://www.nuswhispers.com/confession/100570","['Like: 7 people', 'Sad: 3 people', 'Care: 1 person']",34 comments,2 shares
100569,"I am a married woman who has been in a relationship with a wonderful guy for the last decade. We are regarded as the ""golden couple"" by many friends and acquaintances. We work in the same field. We are financially stable, and this has allowed us to spend on novel experiences. I believe that this has prevented our relationship from ""stagnating"". He has numerous positive attributes - kind, caring, patient and supportive. I feel that he is close to an ideal husband. Unfortunately, I can't help but feel guilty for events that have happened in the last year. At the start of the year, I met a younger coworker. I was going through a difficult time at work and I usually use humour as a coping mechanism. Hence, I was joking around a lot (not in a flirty way). Besides, because he was new and I was his senior, I was initially helping him out quite a bit. I sensed that he was starting to develop some interest in me (eg. gifting me a box of chocolates a few days prior to valentine's day) but I brushed it off as me overthinking. I had told him very early on that I was married. Eventually, he asked me out to hang out after work, which I declined very awkwardly. We managed to get past the awkwardness by pretending that nothing happened. However, I, too, started to develop a crush on him because I felt that we were on the same wavelength and we could talk about anything. There was this undeniable sexual tension between us and I was having sexual fantasies about him. It felt like I was a teenager again. We also started exchanging texts outside of office hours (nothing that will be considered as sexting, but still). I was very conflicted as to what I wanted from our relationship. I knew that, logically, there was no future if I were to pursue a romantic relationship with him. I also knew that I was never going to leave my husband. But at the same time, I just wanted to spend time with this coworker. Looking back, it was probably the thrill of the secrecy made me do it. Fortunately, my cheating never did progressed to the physical nature. He eventually left my department and we kept a bit of contact for a few months after. Eventually, the intervals between his texts grew longer and then he ghosted me. Logically, I knew that he was doing me a favour by cutting contact with me but it did hurt. It's been months since our last contact, but I still think about him, and I am still obsessed about him (our my idealised image of him). Now, he still going to join the department where my husband is working at, and my worlds are going to collide..-#100569: https://www.nuswhispers.com/confession/100569","['Like: 59 people', 'Haha: 41 people', 'Wow: 10 people']",61 comments,10 shares
100567,"I really need to make a confession. it’s hurting me so badly and I sobbed myself to sleep every night. I (26F) am getting married soon and my bf (34M) is the nicest person I ever met. It doesn’t matter he is not so handsome and much older than me, he doesn’t earn a lot but he cares for me. The things we went through this pandemic period makes me know that he is Mr Right. But unlike most bride-to-be, I have this fear of choosing my gown because of a tattoo that run across my left breast. No one, not even my parent or sisters know about it. I used to have a boyfriend in my first year in university and he is a total jerk. There is so many hurtful incidents, so much things he do to me, I am glad I left him. One of the thing he force me to do it to tattoo his name across my breast. I didn’t want to but after weeks of persuasion I give in. It don’t seem to be too bad an idea at that point in time. But now I regret it so much and felt so stupid, angry with myself. Now I have to live with his name screaming across my breast, and its not a small tattoo either. My worst fear now is that my bf will found out about this when I dress in a low cut wedding gown, or in future if we are to see each other naked. How do I explain? How will he feel? Will he leave me?  Laser tattoo removal don’t seem to work well and will leave a scar. And my bf probably still will ask. Many of you will tell me to communicate properly with him, but I don’t believe he can accept it. Even if he said it is ok, I know that no guys can accept that his wife have the name of another man tattoo on their breast. What should I do? I am at a total lost, I love my bf so much.-#100567: https://www.nuswhispers.com/confession/100567","['Haha: 36 people', 'Like: 18 people', 'Care: 10 people']",100 comments,7 shares
100566,"So I've been dating this girl from NUS for like 6 months now, nothing official or exclusive due to her time commitments for school/friends/familyOver these 6 months I’ve spent maybe more than 3k on her, getting things like flowers or a branded backpack etc.Due to her schooling it’s not reciprocated financially but I never doubt that she’d be returning the favor if she could.So recently when discussing an issue about her time management, she expresses that one of the reasons it’s so bad is because she goes out of her way to try and spend time with me out of a feeling of obligation to me, and that isn’t working for her so we should take a step back.I'm honestly crushed because we kinda got into this situation knowing time spent would be sparse at first and I have never asked her to do all the things she feels obligated to do for me. Should I message her to try and continue things or distance myself and give up?-#100566: https://www.nuswhispers.com/confession/100566","['Like: 22 people', 'Haha: 17 people']",75 comments,7 shares
100565,"Asking girls, do you hit your boyfriends? And guys, do you like being hit? Of course i'm not talking about actual physical abuse, i mean just playing around.So i hit and pinch my boyfriend quite a lot. It's just for fun, but recently he asked me if i can stop it. It actually became quite a big argument as i said as a guy he should be able to take it and i'm not hurting him anyway. He just said it annoys him sometimes as i do it very often, and i wouldn't accept it if he did it to me. I said of course not as i'm a girl, and i thought most guys like these kind of playing from their girlfriend anyway. It went back and forth and after that i think he just gave up and said ok do whatever you want. I don't think i did anything wrong as he's a guy and i'm not intending to hurt him.Pls no big discussion about equality in the comments, i'm just wondering if all guys are really this sensitive.-#100565: https://www.nuswhispers.com/confession/100565","['Angry: 46 people', 'Like: 28 people', 'Haha: 22 people']",137 comments,21 shares
100564,"I am among this group of friends. We have been friends since secondary school. Recently, one of us has been sharing Insta stories of his secondary school classmate who is currently studying at a top school in the US to the group. This guy seems to have a bright future and he always shares stories of him traveling and having fun in USA. However, my friend group has been badmouthing him although we barely know him personally. I feel kind of bad to be honest but I can’t understand my friends’ behavior. Do you think they are being overwhelmed by their own jealousy? What can I do to stop this? I also don’t want to engage too much in this kind of convo as it’s pretty toxic-#100564: https://www.nuswhispers.com/confession/100564","['Like: 4 people', 'Haha: 2 people']",0 Comments,10 comments
