Reference,Date_Clean,Content,Comment,Share,Angry,Care,Haha,Like,Love,Sad,Wow,No Reactions,No Category,Advice,Ask Prof Ben,Funny,Lost and Found,Nostalgia,Rant,Romance
#102677,2022-03-28,When do you decide that it is time to put your pet down (due to illness)? Are you making this decision because you can’t stand to see your pet suffer in pain or are you making this decision because your pet can no longer get up and walk?-#102677: https://www.nuswhispers.com/confession/102677,10 ,2 ,0,4,0,5,0,7,0,0,0,1,0,0,0,0,0,0
#102672,2022-03-28,"I feel really exhausted. I am holding a full time stable job whereas my spouse isnt. I work office hours and take care of my kids with an incompetent helper after work and weekends as my spouse works till late on weekdays and weekends. His income is unstable and usually lesser then mine. I keep discussing with him to schedule his appointments to work max 3 out of 5 weekdays nights and 1 whole sat or sun so that i can have a day rest on weekday and 1 day family day but he always guilt trip me like i am stopping him from earning more. I feel really exhausted because i work office hours then come back settle kids including weekends then when is my rest? Sometimes he has no appointments on certain days so he has some personal time and rest time when kids are in school and in childcare. I never minded him earning lesser but as i have heavier workload i feel really maxed out working full time, taking care of the kids, managing the helper, trying to fix outings with only me helper and kids etc etc and the worse is i feel very very neglected. I only ask for intimacy 1 or 2 times per week and instead on good day 2 weeks 1 time. Sex and intimacy is very important to me and i already put it clear. I feel like a cow who is working to earn money, take care of kids only. I feel like divorcing because its always a one way communication with gaslighting and alot of guilt tripping and i feel physically, mentally and emotionally drained. There isnt any family life balance nor healthy marriage life even though finance isnt a very big issue. Is it too much to ask just for 1 family day and 1 night to rest even when i never complained he earning lesser? Is asking for more sex and intimacy really so difficult? I am not asking for monetary stuff.Even as i am writing this i am breaking down and crying. I feel like if i stay on i can only suck it in and continuous the same loop .-#102672: https://www.nuswhispers.com/confession/102672",30 ,3 ,0,21,0,24,0,16,0,0,0,1,0,0,0,0,0,0
#102653,2022-03-26,"Need some thoughts on this.Me and my husband have been together for 10 years and he’s been a very loving husband until recently.He met this woman from work and eventually ended up in an affair which I found out and confronted them. My husband has been very arrogant and pushed all the blames on me for his infidelity; saying that woman understands him more and he felt love by her. But he had never seen the effort i put in this marriage and only seeing the bad side of me? The woman on the other hand after confronted, is still arrogant too and she’s so proud to be the affair. I always wonder during this ordeal, how can a local 28 years old, degree graduate can be so thick-skinned and want to be the affair in a marriage and being so proud of it. She can even sacrifice her career and social circle for him. My husband kept showing me mixed signals and I still love my husband alot but he did not shown any signs of remorse neither did he apologise for his actions.How to move on when I’ve been feeling so revengeful and I’m still stuck with him due to our flat together which i have nowhere to go if we were to divorce and sell the flat? I feel so stuck and helpless.-#102653: https://www.nuswhispers.com/confession/102653",56 ,6 ,0,20,0,39,0,24,0,0,0,1,0,0,0,0,1,0
#102668,2022-03-26,I met this girl for the first time. I won't say from which dating app. We had a nice time talking and getting to know each other. I sent her home. Before she was about to get out of my car she asked me to close my eyes. I didn't think she was going to kiss me since we were masked up but I followed her instructions. She took my hand and placed it on top of her chest. She said she wanted me to feel her heart before she go. Omg I could have died. I almost instinctively grabbed but I held my breath till she let go of my hand. Anyway I didn't feel the chemistry after the date. So this is the last time I will be feeling her heart. Ladies please don't scare men like this.-#102668: https://www.nuswhispers.com/confession/102668,70 ,25 ,0,0,243,50,0,0,0,0,0,0,0,1,0,0,0,0
#102667,2022-03-26,"My older sister is a very materialistic person. My parents have spoilt her rotten. I am not jealous of her. My parents probably realized it's too late to discipline her so they choose to be more strict with me when I was young.Since my sister is older than me she has more privileges than me which I guess is normal. Once my parents wanted to stop her from going out so they bribed her with $100 to stay home. She stayed home and kept the $100. My parents have the tendency to use money to control her which I find is rather demeaning.This won't work on me. I would prefer to go out and skip the $100. My parents know they can't bribe me with money. My sister stopped her education at O levels, worked a while, then went private and tried to get a degree, failed again so she gave up and went back to work again and yet is still taking an allowance from my parents. She buys Chanel, Cartier, Prada and other branded stuff and uses high end products all over herself. I know with her salary, it's impossible to afford her current lifestyle. So I suspect she has other money sources, not just from my parents. Draw 2,3k< a month how to afford a few Hermes?I'm the opposite of her. I'm thrifty and I use and wear budget or normal brands that people my age can afford.I can accept our differences and she is nice to me. What I cannot accept is her loose morals. While we were still studying I introduced her to join my group of friends. I have some guy friends a bit older than us. This was pre covid. Once we went clubbing, she made a move on one of my guy friend. The thing is, all of us know the guy is attached. The gf didn't join us that night. My guy friend later told me that my sister grabbed and kissed him earlier and he was shocked and offended. He avoided my sister after that. It was not the first time my sister tried to throw herself at my guy friends. I talked to my sister about it and she said she didn't care if they have someone else, in fact she liked the challenge. I thought she was crazy.Another time I attended a xmas home party with my friends and I took my sister along because she wanted to come. There were several expats in the group because I just did an event with some of them. After the party I realised my sister had exchanged phone numbers with 2 of the expats and was trying to date them for lunch or something. The thing is those guys are not single. My sister told me her dream is to marry a non local, at least 10 years older than her. And this is the most important. Must be very very wealthy. She dreams of getting married dressed in Chanel and all the most expensive branded accessories and wearing a diamond larger than the width of her ring finger. I don't know if she have enough traits and talents to get such a guy. She told me she have Ons when she was seeing a guy who was regularly giving her money. She didn't love the guy, he was not rich enough, not old enough and a local but since he was giving her money she didn't mind. I really don't know why she want to live like this. I suspect maybe she had other sugar daddies all this while. She dumped the guy when she decided to target her new boss. She told me her boss is her perfect dream man. He's older, non local and wealthy. The problem is he's married. By the time she told me about it, she was already seeing him. She kept saying his marriage is stale already so it will be ending soon. I discouraged her and asked her to look elsewhere or wait for him to be divorced first. Of course she didn't listen to me. The horrible part is I told my parents about it and they supported her to try and get married to this guy! She did get together with the guy and he got divorced and married my sister after that. My sister got her dream diamond ring and dream wedding. My sister told me she never want to have children because she didn't want to go out of shape and she love herself too much to sacrifice for another human being. I don't understand. Both of us came from the same parents, both of us lived through the same environment. Why did she become like this?  I gave her my blessing but seeing how she turned out made me fearful of settling down with anyone. What if there is a woman out there, like my sister, waiting to take away my relationship or marriage?I fell out with my sister recently over some family issues. I find she is too selfish and thinks only for herself. Up till this day, she has never given my parents anything. Only take and take and take. Now she has married she never once offered to see if my parents need help with anything too. I'm still staying with my parents so I've been helping out with everything at home after I have started to work. I just find this whole situation ridiculous.-#102667: https://www.nuswhispers.com/confession/102667",20 ,8 ,0,7,0,21,0,0,11,0,0,0,0,0,0,0,1,0
#102665,2022-03-26,"Unlike many people who dislike reservice, I'm actually quite relieved to go for it. This is subjective, so to all other guys that dislike reservice, look away. I'm a Man. I don't have the pressure of meeting before a year's reservice to plan. I don't need to be in the advance party to enter camp early to prepare. I don't have admin stuff to do before going for reservice. I just receive instructions and zao. Why I also am relieved to go for reservice is that I can escape work. I can leave work behind and just disappear for 2 weeks. No emails to clear. No meetings to attend. No deadlines to meet. No agile scrum style updates on work to report on progress every week. No need to worry about whether I can produce result to show my bosses. No need to be apprehensive about sudden pings from my inbox or phone.-#102665: https://www.nuswhispers.com/confession/102665",29 ,1 ,0,0,7,38,0,0,0,0,1,0,0,0,0,0,0,0
#102664,2022-03-26,"Hi S, I'm not sure if you'll ever talk to me again or if you'll read this, but I'd like to apologise to you if my actions and/or have brought you any discomfort.-#102664: https://www.nuswhispers.com/confession/102664",8 ,2 ,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0
#102663,2022-03-26,"To all reading this, do you have friends that constantly get on your nerves on purpose for their own entertainment?They know you are sensitive to certain comments. They are aware of your views about certain things. They are usually smarter, cleverer and more intellectually inclined than you, and they make use of this trait and make fun of you with words and comments that just throw you off course. Seeing you react in a flustered and agitated way is entertainment for them. When confronted, they would give a 'Why so serious?' attitude and reply. Seems to them that if you don't take the bait, then you will not be affected by what they said. If you can be more tolerant and take things easy, you will not see their comments as blades and swords, but instead, you will treat them as jokes and laugh it off. It is very hard to be friends with these people. You will never know when they are joking with you. You will never be sure when they are making fun of you. You will certainly never know when you will be their target for entertainment. Ultimately, you will still be a clown and joke to them, easily manipulated and controlled. Why are these people like this?-#102663: https://www.nuswhispers.com/confession/102663",15 ,3 ,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0
#102660,2022-03-26,"I have a friend who always tells me I could have done better in everything with my life. From shopping to meals, she would tell me I could have picked something else etc.If I'm seeing a new guy she would always tell me I could have done better. It's like all my choices are inferior according to her. When I was getting married she maintained her stand I should have picked a richer/taller/better looking guy. She didn't approve of my choice  but she did ask me if my husband knows anyone who has similar views like him to introduce to her. So it means she didn't find my husband that bad right?If I mention about my married life she would call me useless for being too lenient with my husband. She always have a cynical view about everything and everyone. I notice everytime after meeting with her, I would come home and be negatively affected towards my husband. I start to notice she's not a good friend for my marriage. I slowly start to spend less time with her. She knew this guy and married him after 6 months of knowing him and tried to ruled him with an iron fist. She told me all the things which she did to dominate him and she was very proud of herself. I felt she sounded abusive and a little abnormal to me. Her marriage didn't last a year. The guy left the country to be with another woman.I don't know why I am able to ignore her views for years. Just because I told her a part of what happened to me, she would use it to make a harsh judgment of my entire marriage/life using that 1 point I mentioned. I start to share less and she would use the same old pointers to say me. It's like she got no inkling that people can grow and some things are not constant in relationships.I felt over the years, she has never grown as a person. Her marriage was a good example to me she has some internal issues that she refuses to acknowledge. She is very proud to check her partner's phone regularly and forbid him to talk to female friends. I couldn't get a direct reply from her when I ask why she does that so I decided to leave it be. She said I should check my husband too and keep saying I will regret it one day.  I come from a family where I have a very domineering parent so I have a softer personality. I felt my friend has a very domineering personality too. Maybe that's why I'm drawn to be friends with her. She told me I'm her best friend and only friend who can stand her. I dislike it when I share something vulnerable with her and she would use it as a weapon to insult me later. I didn't tell her everything about me and she always assume she's my only friend too. I have more married friends, friends who have children, compared to single friends as I've got older. So far I find she is the most draining friend to be around so I start to spend less time with her. The last straw was after I had my first child. I went out with her to have a meal without my child. We were queuing and before us was a family with a young toddler. The toddler was swinging and twirling her ballerina skirt while waiting to enter the restaurant. I gave the toddler space to play while my friend saw the child and didn't budge in the queue. So naturally the child eventually swung into my friend and stepped onto my friend's shoes.  The toddler didn't say anything and carried on swinging. The parents weren't looking so they didn't notice their child had knocked into my friend. My friend started to fume, she huffed loudly and said loudly, ""Some people shouldn't breed!...."" blah blah blah, something along those lines. She made eye contact with the child, glared, and told the child to f*** off. The child cried. The parents picked up the child, ignored my friend's insults and avoided eye contact with us. My friend didn't stop speaking loudly and badly about them and their child. I had it. I left the queue and walked away. She followed me and demanded that she didn't do anything wrong. She felt the child should have been controlled by the parents. I told her she had been young once. She was not injured. Her feet is still intact. Why the cruel reaction? I told her I wouldn't want to let my child be near her.Sensing I have insulted her, she started to cry and said she hated all children, including mine. I lost my appetite and ended the meeting with her. She said see you again and I think she don't mean it. I think this is the last time I'll be meeting her. A while later she texted me like nothing happened. I don't think can get over how she behaved. My husband said its a waste to lose this friendship, I could be her only lifeline because people like her usually don't have much friends and I should try and forgive her if I cherish her friendship. My husband says she is a very hurt person. Because no normal person would be so hateful about everything in life. I disagree. I told my husband not to mention this person to me again. Am I being cruel?-#102660: https://www.nuswhispers.com/confession/102660",43 ,9 ,0,10,0,32,0,0,4,0,0,1,0,0,0,0,0,0
#102659,2022-03-26,"Ok ppl, I need some helps regard to mine boyfriend?!?! I dk is it his eq low or was it mine problems, we talked for few times already but we always ended up having no progression. I'll talk about 2 incidents.We went for 5 ppl picnic, so we all agreed each to bring stuffs for the picnic. He said he'll bring foods, so he end up only brought like 12 pieces of Nuggets, 2 packets of drink for 5 ppl? N I thought ok maybe after picnic we go somewhere else to eat as a grp but during the picnic, he finished everything? The rest of us was just drinking drinks that was brought by one of the 5 ppl in pinic.Next incidentWe eat at Japanese restaurant. So u know Japanese dishes often have those ""oven easy egg"" which is the egg white is firm with runny yolk. So I poked the egg n the yolk flowing out n he was saying "" why u poke it, now the whole thing looked like vomit."" Like bro, wtf. Ppl eating habit n preference u got different opinions I got no issue but u saying such thing when ppl are eating? U tell me how am I suppose to have appetite for what's served.I really getting headaches from his actions but he's a nice guy. But his actions, words. I really cannot hold it much. It's been exhausting me so much.-#102659: https://www.nuswhispers.com/confession/102659",75 ,6 ,0,0,70,19,0,0,0,0,0,0,0,0,0,0,1,1
